,5-10,10-20,knife,img,match,set
125,-0.014217214705732,0.117075455691001,E10:E34,8,nonmatch,1
126,0.274415105100012,0.255359012801448,E10:E34,9,nonmatch,1
127,-0.138366564467451,0.328494569890194,E10:E28,1,nonmatch,1
128,0.195549303439069,0.003350230944054,E10:E28,2,nonmatch,1
129,0.253338894121771,0.251051252000175,E10:E28,3,nonmatch,1
130,0.493306986346825,0.227662568594208,E10:E28,4,nonmatch,1
131,0.314934557035574,0.388713320150819,E10:E28,5,nonmatch,1
132,-0.097126495596939,0.150273073714602,E10:E28,6,nonmatch,1
133,0.0620244522952,0.244986938636632,E10:E28,7,nonmatch,1
134,0.039776630981678,0.254457387492887,E10:E28,8,nonmatch,1
135,0.269183490027869,0.20214222903033,E10:E28,9,nonmatch,1
136,0.126556186859362,0.217302128557563,E10:E27,1,nonmatch,1
137,-0.045036246820308,0.165461953133798,E10:E27,2,nonmatch,1
138,0.219436721061753,0.146434911334316,E10:E27,3,nonmatch,1
139,-0.047512756394259,0.141794271062114,E10:E27,4,nonmatch,1
140,-0.145610127363728,0.084426166547593,E10:E27,5,nonmatch,1
141,0.031376737271009,0.204674384803591,E10:E27,6,nonmatch,1
142,0.144451999692502,0.129362190753419,E10:E27,7,nonmatch,1
143,0.28315024098813,0.258837747863199,E10:E27,8,nonmatch,1
144,0.38860307302845,0.374293864928179,E10:E27,9,nonmatch,1
145,-0.001329476745098,0.066961867325102,E10:E24,1,nonmatch,1
146,0.203581485007185,0.01184492814881,E10:E24,2,nonmatch,1
147,0.47027303977072,0.101750104915762,E10:E24,3,nonmatch,1
148,0.418196796760383,0.138268196307535,E10:E24,4,nonmatch,1
149,0.313252238216187,0.254446405595205,E10:E24,5,nonmatch,1
150,-0.132134858971508,0.015371992671506,E10:E24,6,nonmatch,1
151,-0.016900894992989,0.001390751470069,E10:E24,7,nonmatch,1
152,-0.066692733170487,0.104695971113695,E10:E24,8,nonmatch,1
153,0.204726199071489,0.045136430519599,E10:E24,9,nonmatch,1
154,-0.154341038738046,0.17477608294431,T10:E10,1,nonmatch,1
155,-0.00655894877015,0.089752579853568,T10:E10,2,nonmatch,1
156,0.21567753740871,0.135237031241632,T10:E10,3,nonmatch,1
157,0.118547098205831,0.229977766367577,T10:E10,4,nonmatch,1
158,-0.074547224677361,0.093568998437591,T10:E10,5,nonmatch,1
159,-0.081974491696331,0.292854415190197,T10:E10,6,nonmatch,1
160,-0.091933146715169,0.218849427780063,T10:E10,7,nonmatch,1
161,0.074935874233303,0.319651302841974,T10:E10,8,nonmatch,1
162,0.035571748224238,0.253253626769711,T10:E10,9,nonmatch,1
163,-0.293643222641928,0.202451272225067,T10:E48,1,nonmatch,1
164,0.013258855769505,0.290919042043211,T10:E48,2,nonmatch,1
165,0.29267256391303,0.430890576683793,T10:E48,3,nonmatch,1
166,0.325881007158114,0.320429052074048,T10:E48,4,nonmatch,1
167,0.419986225404273,0.170115770922853,T10:E48,5,nonmatch,1
168,0.266014234117779,0.198420249510373,T10:E48,6,nonmatch,1
169,0.062928098276559,0.125358069075975,T10:E48,7,nonmatch,1
170,-0.153116474996206,0.087836482716633,T10:E48,8,nonmatch,1
171,-0.009054174941933,0.072150638982084,T10:E48,9,nonmatch,1
172,-0.272449740402128,0.275007374901228,T10:E39,1,nonmatch,1
173,-0.11512001132359,0.187861212688558,T10:E39,2,nonmatch,1
174,-0.028015032518066,0.113305587622611,T10:E39,3,nonmatch,1
175,0.141973763221423,0.257779978389304,T10:E39,4,nonmatch,1
176,-0.128129172716722,0.249726923468565,T10:E39,5,nonmatch,1
177,-0.006116244744471,0.16059046866853,T10:E39,6,nonmatch,1
178,0.10971079548565,0.185574586496979,T10:E39,7,nonmatch,1
179,0.230070369525969,0.216828519541486,T10:E39,8,nonmatch,1
180,0.226244086419184,0.336834851944196,T10:E39,9,nonmatch,1
181,-0.272771492838195,0.105811163866276,T10:E36,1,nonmatch,1
182,-0.077968419770174,0.266009368076665,T10:E36,2,nonmatch,1
183,0.034791702956483,0.158151556310326,T10:E36,3,nonmatch,1
184,0.231119718376619,0.168867449312299,T10:E36,4,nonmatch,1
185,0.430888740336068,0.184571284827856,T10:E36,5,nonmatch,1
186,-0.19463608537807,0.210297731410696,T10:E36,6,nonmatch,1
187,0.237796174092408,0.230421691706876,T10:E36,7,nonmatch,1
188,0.142276363593294,0.236122537728012,T10:E36,8,nonmatch,1
189,0.129655139442898,0.236352131185276,T10:E36,9,nonmatch,1
190,0.087692189071905,0.199784611718519,T10:E34,1,nonmatch,1
191,-0.000603009176931,0.270519507288558,T10:E34,2,nonmatch,1
192,0.349228986569588,0.308668771081079,T10:E34,3,nonmatch,1
193,0.375208623424027,0.245152206628818,T10:E34,4,nonmatch,1
194,0.455960108024894,0.350666902221618,T10:E34,5,nonmatch,1
195,0.584543414661366,0.236645798054828,T10:E34,6,nonmatch,1
196,0.543551973040864,0.25669403406817,T10:E34,7,nonmatch,1
197,0.078244458655935,0.283664251299125,T10:E34,8,nonmatch,1
198,0.720111808998944,0.371314259825881,T10:E34,9,nonmatch,1
199,0.050430042523501,0.208228672789128,T10:E28,1,nonmatch,1
200,-0.049931973565994,0.366892499133193,T10:E28,2,nonmatch,1
201,0.251774212923861,0.200634052944784,T10:E28,3,nonmatch,1
202,0.199950439431236,0.1271159205887,T10:E28,4,nonmatch,1
203,0.237340169598647,0.195568182652881,T10:E28,5,nonmatch,1
204,0.229147616814128,0.233027199483353,T10:E28,6,nonmatch,1
205,0.129083107334714,0.263049731112481,T10:E28,7,nonmatch,1
206,0.087685714566897,0.140842198473825,T10:E28,8,nonmatch,1
207,0.289393421889741,0.183658328514002,T10:E28,9,nonmatch,1
208,0.094959250740994,0.175457361546948,T10:E27,1,nonmatch,1
209,0.056629464073586,0.311955584994706,T10:E27,2,nonmatch,1
210,0.125180606733591,0.327094302053622,T10:E27,3,nonmatch,1
211,0.437242896222334,0.063490365211991,T10:E27,4,nonmatch,1
212,0.226706838027674,0.391657562975824,T10:E27,5,nonmatch,1
213,0.293593627587644,0.505834555030784,T10:E27,6,nonmatch,1
214,0.395448023804554,0.357607138406946,T10:E27,7,nonmatch,1
215,0.341654352505484,0.385341512090398,T10:E27,8,nonmatch,1
